Project No,Total A-C,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Height,Storeys,Grid_X,"Typology_CLT, Glulam and Steel Column Hybrid",Typology_Composite Cell Beams with Metal Decking,Typology_Composite Rolled Steel with Metal Decking,Typology_Non-Composite Rolled Steel with PCC Planks,Typology_One-Way Spanning RC,Typology_PT RC Flat Slab,Typology_Precast Hollowcore with In-situ RC Beams,Typology_RC Flat Slab,Typology_RC Rib Slab,Typology_Steel Frame with CLT Slabs,Typology_Two-way RC Slab,Building Use_Education,Building Use_Healthcare,Building Use_Office,Building Use_Residential,Concrete Mix_C32/40 - 25% GGBS,Concrete Mix_C32/40 - 50% GGBS,Concrete Mix_C32/40 - 75% GGBS,Concrete Mix_C32/40 - CEM I (OPC),Has Basement_No,Has Basement_Yes,Has Transfer Deck_No,Has Transfer Deck_Yes,Cladding Type_Cavity Wall,Cladding Type_Curtain Walling,Cladding Type_Lightweight Cladding,Cladding Type_PC Cladding,Cladding Type_Timber Cladding
296,5402.363930562814,10018249.6669,9792.0,77310515.84411022,70.12774766797895,498.7180433457516,5.95,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
297,5402.582912788256,9979631.7194,9792.0,77308993.27457944,69.85742203566718,498.7156038367845,5.575,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
298,5422.791802712196,10196127.4171,9792.0,77270710.71711245,71.37289191946198,501.00472507751766,6.0324,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
299,5363.593251906341,10212401.926,9792.0,76871170.2938605,71.48681348212752,495.6734059455227,5.7395,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
300,5363.856223055293,10216076.9124,9792.0,76871492.59936754,71.5125383870793,495.7022952510628,5.752098102459961,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
301,5359.33203574536,11334568.4283,9792.0,76840636.6249435,79.3419789978107,496.10031338587066,5.9949,1,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
302,5353.59495048411,10867345.0794,9792.0,76862793.78314829,76.07141555596495,495.1432603292957,6.359999999999999,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
303,121518.7863394509,241760105.9578,546210.0,971252345.4288478,1692.3207417045865,199.23242378545672,152.29500000000002,33,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
304,104308.85494012455,262055270.15,546210.0,876512855.4051751,1834.3868910497204,171.0644920786932,150.645,33,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
305,97930.17706049891,245172410.9701,546210.0,791696822.5369414,1716.206876790839,161.6309219911641,160.05,33,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
306,105523.492715139,216949505.2113,546210.0,806653998.4791627,1518.6465364790718,174.68227523563775,160.05,33,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
307,103212.3515910747,228875413.8181,546210.0,833798407.3565645,1602.1278967269643,169.69203004496447,160.875,33,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
308,117793.47814017124,237504230.2438,546210.0,898984244.7447268,1662.529611706846,194.71377995939665,154.275,33,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
314,14694.440777634378,19658192.3439,36960.0,96053011.13413613,137.6073464075426,366.420068347019,70.77000000000001,14,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
315,11867.043595137377,19907062.4506,36960.0,82100114.66378188,139.34943715437964,296.1558793279738,69.51,14,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
316,10849.040197227436,18893096.0903,36960.0,75761748.93543531,132.2516726324485,271.61902417996714,75.60000000000001,14,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
317,11262.00396769218,17959571.801,36960.0,77964444.75845912,125.71700260711596,281.5311922323795,75.95000000000002,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
318,11652.1886105068,18148260.3119,36960.0,80657466.88410598,127.0378221832018,290.7713225900033,71.4,14,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
319,12163.374062163475,24624450.3297,36960.0,76545891.85379949,172.37115230809414,307.8346172231845,78.8536,14,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
320,10917.385773840748,23373274.2277,36960.0,63710996.58371769,163.61291959413282,279.81880778571684,74.753,14,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
321,11228.500001242764,25148897.4683,36960.0,63726967.61047315,176.042282277855,288.5650298590892,73.41360298646909,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
322,9343.32050596635,24044690.3307,36960.0,54451162.38680108,168.31283231516971,241.2228956550914,75.42640000000002,14,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
323,9163.937010867096,26108018.1099,36960.0,57318040.793617405,182.75612676896557,235.04424239434525,80.36,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
324,30770.192169660197,81181068.901,182400.0,421852088.18210906,568.2674823072723,146.16525864909116,45.09,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
325,25510.072323949717,84554116.0628,182400.0,386267022.7524203,591.8788124392877,120.98628948730078,44.370000000000005,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
326,22885.41411554121,78222177.7361,182400.0,355830431.85349405,547.5552441527363,109.35179008348145,47.475,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
327,23548.56249278356,73036461.1918,182400.0,357800668.11228645,511.2552283423561,112.59367646558282,47.475,9,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
328,29948.386150125443,77661697.3873,182400.0,385410348.0252344,543.6318817108258,145.0808122664808,45.225,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
329,30563.302056212084,93901437.9462,182400.0,346916029.0568771,657.310065623326,152.87299304147402,48.708000000000006,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
330,29111.860889362157,95304749.3746,182400.0,322813898.36856854,667.1332456220218,147.4167946563517,47.34,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
331,31480.71849569958,106132941.1963,182400.0,324376367.8034195,742.9305883742544,160.66344263917674,46.211035203320606,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
332,25377.115319906254,96801192.2506,182400.0,276158693.5580871,677.608345754234,130.9143723209391,48.2274,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
333,23344.08174286644,106348528.8547,182400.0,278034185.0522895,744.4397019831148,119.65137060102587,50.040000000000006,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
334,6669.907449781608,13961185.8295,31360.0,54245540.08624779,97.7283008062098,188.176586616777,19.1,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
335,6598.754881209055,17292237.7125,31360.0,55950286.92850621,121.04566398725574,185.71421599655304,19.2,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
336,6465.857797600875,13394838.7246,31360.0,40848741.37446826,93.76387107243696,189.1355680467721,21.3,4,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
337,5788.468748994001,13305342.0804,31360.0,44123377.21037696,93.13739456255706,165.63043151898947,19.9,4,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
338,6501.724003224661,17935704.4147,31360.0,38460729.566423096,125.54993090255816,192.68712458817956,21.2412,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
339,5542.425349355969,18337818.6138,31360.0,27150156.500155527,128.3647302967491,168.64990028252302,20.3488,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
340,6479.955634857191,22676480.3799,31360.0,28014796.983438853,158.73536265895612,199.03313624495595,20.79624,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
341,4840.857456857127,18421376.778,31360.0,19683647.738127973,128.94963744609245,149.97582126934847,21.1596,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
342,4227.558240944402,19710733.5678,31360.0,20200639.77377092,137.97513497454452,129.82866246454824,22.06,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
343,50098.650456558025,82161656.502,172032.0,286121397.1242585,575.1315955139664,265.9808761707226,157.12,32,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
344,43771.57226635007,90039031.8637,172032.0,258168309.4561184,630.2732230460825,232.40792087060385,155.84,32,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
345,48610.23869906335,92429630.315,172032.0,279140197.6130284,647.0074122052159,258.5187313631466,164.8,32,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
346,45684.45818805167,77326820.256,172032.0,254664939.02870923,541.2877417918698,243.0792402837796,164.0,32,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
347,51233.24889417377,86304140.3816,172032.0,296899103.17529655,604.1289826711775,271.6286190598299,164.8,32,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
348,49071.76873938897,83108646.5594,172032.0,280416030.7132982,581.7605259155829,260.6306188720972,160.0,32,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
349,50960.27588421761,125450895.5968,172032.0,233800763.91306317,878.1562691777403,277.91649653604287,175.95520000000002,32,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
350,50926.6797071456,124949589.1726,172032.0,203253204.35050923,874.6471242081944,280.74132472413004,172.88320000000002,32,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
351,53047.05836643929,138473187.2926,172032.0,196527837.42524475,969.3123110479984,294.3028045790089,164.6976,32,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
352,40531.35431368856,112203707.234,172032.0,151594945.70058423,785.4259506379196,224.54139888075505,169.89120000000003,32,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
353,40902.17050439924,136860982.8532,172032.0,164168783.9844635,958.0268799726524,226.0904492143139,179.20000000000002,32,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
354,10389.079433928768,19300993.8043,33600.0,60725652.4036531,135.10695663003932,282.1839104824165,98.2,20,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
355,9166.997692704286,20754170.2989,33600.0,54864988.99841988,145.2791920919605,249.1644496280757,97.4,20,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
356,9985.7391794198,21492888.2414,33600.0,58241062.77021532,150.450217689706,271.94664297623416,102.5,20,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
357,10049.1387102951,19094897.2232,33600.0,56890844.42738781,133.6642805622105,273.8162675253326,102.0,20,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
358,10334.439473129803,20367689.3034,33600.0,60503182.65841381,142.5738251240739,280.856073012928,102.5,20,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
359,10698.344094437023,20188042.8218,33600.0,61732776.23206446,141.3162997524138,290.96160304732865,100.0,20,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
360,11081.249318374705,27589799.4663,33600.0,55144994.75406797,193.12859626401027,307.4014516707147,107.316,20,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
361,11425.333008921412,28434381.5892,33600.0,50223941.99779213,199.04067112461755,320.3867244806383,106.566,20,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
362,11189.050199909048,28650463.7773,33600.0,47869711.23577279,200.55324644098968,314.61247950212595,102.5944,20,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
363,9500.164535846914,26071917.163,33600.0,39589433.77807425,182.50342014086877,267.40537078749304,106.094,20,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
364,9403.76890816969,28125372.6578,33600.0,41876284.52368938,196.87760860493415,263.4675790738779,110.0,20,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
365,10659.649414910444,18818742.9922,24624.0,75535972.47255051,131.73120094529156,394.2928852778438,107.55,18,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
366,12165.18141408799,20341291.7201,24624.0,78400224.13935088,142.38904204044982,453.78817087671234,107.1,18,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
367,10570.852193436423,17202143.3939,24624.0,74795703.40711218,120.4150037576014,390.66397775286174,102.15,18,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
368,11475.82330034178,24189303.0727,24624.0,71297780.74970296,169.3251215089361,432.07169466114993,111.5064,18,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
369,10125.676357251708,22730012.2213,24624.0,59402803.02486349,159.11008554923052,384.8041195189687,107.3196,18,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
370,10863.614647410805,25768393.009,24624.0,60742240.29837307,180.37875106302468,414.69093287555154,109.23948,18,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
371,9712.699452590332,24816774.9854,24624.0,52574043.07568546,173.71742489801184,372.3808734534952,110.034,18,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
372,10100.20375904878,23947239.6393,24624.0,60887346.663959645,167.63067747511016,381.6934603691,123.84,18,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
373,22781.78197812867,68951428.4635,204820.0,197068618.7814108,482.65999924466473,97.75353085928212,53.68000000000001,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
374,19538.08856418443,79520814.2225,204820.0,180022054.91416216,556.6456995572745,83.77507655971107,53.405,11,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
375,20740.55652634061,75319531.4369,204820.0,173493353.73460048,527.2367200586378,90.01560969803394,55.55000000000001,11,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
376,19992.879708277287,59041520.8166,204820.0,162980921.8694641,413.2906457160692,86.80190988890587,55.0,11,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
377,21972.613623400048,69372131.9916,204820.0,188721894.517947,485.6049239414426,94.55016991193868,55.55000000000001,11,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
378,28169.439079983746,74914889.5806,204820.0,205591368.0740824,524.4042270643894,123.50696060127136,55.0,11,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
379,25123.423396769645,92766416.8284,204820.0,143543811.48480397,649.3649177985474,114.6454470616416,58.388000000000005,11,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
380,29574.195725200367,103663253.0394,204820.0,131597659.56153952,725.6427712759582,137.80159046341944,57.897400000000005,11,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
381,30800.56055612333,110780963.4647,204820.0,132098117.03259492,775.4667442527451,143.98716469917744,56.42692,11,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
382,22673.30940621177,89450382.6616,204820.0,74547689.0526376,626.1526786312174,107.92537314155616,57.5278,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
383,21107.522770101157,101177169.2343,204820.0,78960368.32598543,708.240184640369,100.02897764949552,60.06000000000001,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
384,18257.009337956744,27022825.7551,38016.0,109179505.99729098,189.159780285466,443.52519501559954,126.525,21,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
385,20790.968474563968,29687461.6707,38016.0,113103468.88138989,207.81223169509585,508.788071762623,124.425,21,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
386,19192.72471039982,36418191.1051,38016.0,102663962.56014492,254.92733773548295,472.89676555791766,128.36249999999998,21,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
387,17202.79899109327,34466626.0295,38016.0,85135524.26004817,241.26638220649536,427.81262818608366,123.6375,21,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
388,18644.48037931098,40478677.9729,38016.0,86888924.46450967,283.3507458104915,466.0228942471538,125.30868,21,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
389,15554.39420430846,35966187.7779,38016.0,73199959.08212519,251.76331444507807,389.2469412524277,126.4347,21,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
390,17291.960586746693,38248114.335,38016.0,86907084.36247808,267.73680034525506,428.4103895565281,144.48,21,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
391,59097.821224399806,95450404.8256,267750.0,349462543.8612343,668.1528337793636,200.9218293112039,79.39,17,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
392,46883.86521731056,103867756.0479,267750.0,286664965.5400019,727.0742923355044,159.63362365907744,78.2,17,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
393,40123.246071059024,93507057.4261,267750.0,232886416.2283334,654.5494019829333,137.67058451414155,84.15,17,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
394,47427.3854931107,85889747.5038,267750.0,250102810.3197099,601.2282325269113,163.59223194251578,84.575,17,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
395,43513.15818182538,84491446.5932,267750.0,254753850.77654952,591.4401261522343,148.57744357092642,84.15,17,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
396,48050.09055634365,91248212.7621,267750.0,276308990.59053457,638.7374893343716,164.36215828534114,79.9,17,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
397,47368.51989320756,130719104.4833,267750.0,212083343.55109304,915.0337313829174,167.07493845702118,86.50280000000001,17,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
398,48070.96383940441,133532750.7322,267750.0,169080728.65053672,934.7292551252414,172.6772965731586,85.13770000000001,17,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
399,49050.694380385816,140971818.1183,267750.0,168821506.10859525,986.8027268280608,176.5462967280657,83.0375109396056,17,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
400,35012.89466584268,120637197.2462,267750.0,94464267.34900688,844.4603807237156,127.82792963180056,85.91120000000001,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
401,31781.53891477652,138312184.2207,267750.0,98151705.70463814,968.1852895446305,115.6396230684716,88.655,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
402,23839.707917793305,72634866.2629,77616.0,70922906.60725035,508.44406384045,297.7263069137452,121.1721,21,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
403,23354.0138713426,70512943.2323,77616.0,96368502.35449034,493.59060262631135,284.76466264984174,147.0,21,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
404,14061.67112200639,26832578.9243,45738.0,100525462.54533824,187.82805247011444,274.5355984442741,91.26,18,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
405,11004.902325665877,28358364.7919,45738.0,81334917.43402274,198.50855354341545,214.949512466357,89.46000000000001,18,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
406,12386.579719081335,28201833.5943,45738.0,88284375.3558907,197.4128351599621,242.479906499092,99.0,18,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
407,13318.044361580967,27337763.8954,45738.0,89720654.3053487,191.36434726773464,262.14858979195577,97.65,18,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
408,14242.725958244202,28603582.7073,45738.0,103683391.0940205,200.22507895120935,277.57657765072406,99.9,18,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
409,12101.57551566398,23953801.988,45738.0,82072302.8416543,167.6766139160076,238.02229346437616,94.05,18,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
410,13939.606934039217,36357403.5116,45738.0,75820024.8441487,254.5018245812485,282.2258204912369,106.8372,18,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
411,12359.471077876797,36033919.7888,45738.0,55930549.73659983,252.2374385213578,255.0804481022487,101.7162,18,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
412,13120.188688923145,39933883.4821,45738.0,56727477.6213371,279.5371843746097,271.99541145640853,102.18564,18,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
413,11169.359514177551,36178501.4812,45738.0,43946205.03717013,253.24951036828415,233.13227563507024,102.294,18,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
414,10540.054713355732,41856081.2114,45738.0,51682001.73308752,292.9925684799559,216.85853107366108,114.48,18,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
415,75507.88883286013,137022292.8733,312312.0,534628078.470741,959.1560501127972,215.8199498398897,66.85000000000001,14,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
416,63524.11379317278,160479358.4072,312312.0,477008571.12228507,1123.355508850461,181.2935165882271,66.00999999999999,14,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
417,60906.419184475046,114109998.1388,312312.0,408737718.5436892,798.769986971785,175.50758749474167,70.35000000000001,14,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
418,68018.33987904062,184548743.6547,312312.0,325433044.2670873,1291.8412055826077,204.45498407877756,79.00200000000001,14,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
419,57313.37152832748,173381771.0103,312312.0,225937124.49505872,1213.672397071774,175.57119616232137,74.5626,14,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
420,63274.984627090605,202454809.701,312312.0,231566240.14623377,1417.1836679072248,194.92675090585607,77.19879999999999,14,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
421,51179.55179552773,181937678.1338,312312.0,148678962.92680714,1273.5637469364158,159.89156224218613,75.012,14,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
